id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,last_updated,roi_times,roi_currency,roi_percentage
sui,SUI,Sui,https://coin-images.coingecko.com/coins/images/26375/large/sui_asset.jpeg?1696525453,0.93,2478231523.0,37,9247257631,434640375,0.956423,0.898899,-0.008850003063307077,-0.94682,-31588741.35036564,-1.25861,2679963749.63,10000000000.0,10000000000.0,2.17,-57.39684,2024-03-27 17:46:02.608000+00:00,0.364846,153.51576,2023-10-19 10:40:30.078000+00:00,2024-09-09 19:10:39.729000+00:00,0.0,N/A,0.0
blockstack,STX,Stacks,https://coin-images.coingecko.com/coins/images/2069/large/Stacks_Logo_png.png?1709979332,1.53,2268771503.0,38,2776601975,66043517,1.53,1.39,0.130174,9.30297,188250687.0,9.04825,1485494366.51,1818000000.0,1818000000.0,3.86,-60.63285,2024-04-01 12:34:58.342000+00:00,0.04559639,3236.38993,2020-03-13 02:29:26.415000+00:00,2024-09-09 19:10:51.175000+00:00,11.745384969902409,usd,1174.538496990241
okb,OKB,Okb,https://coin-images.coingecko.com/coins/images/4463/large/WeChat_Image_20220118095654.png?1696505053,37.5,2248565042.0,39,8842770042,3228562,37.51,35.84,1.62,4.51573,95305602.0,4.42611,60000000.0,235957685.3,300000000.0,73.8,-49.29265,2024-03-14 00:30:12.502000+00:00,0.580608,6345.6092,2019-01-14 00:00:00+00:00,2024-09-09 19:10:37.466000+00:00,0.0,N/A,0.0
polygon-ecosystem-token,POL,Pol (Ex-Matic),https://coin-images.coingecko.com/coins/images/32440/large/polygon.png?1698233684,0.38,2183143091.0,40,3934597836,8372581,0.386186,0.371881,0.00775945,2.06277,63710921.0,3.00604,5689293043.73,10253601875.85,,1.29,-70.30731,2024-03-13 18:55:06.692000+00:00,0.344976,10.82262,2024-08-05 06:45:46.141000+00:00,2024-09-09 19:10:33.302000+00:00,0.0,N/A,0.0
crypto-com-chain,CRO,Cronos,https://coin-images.coingecko.com/coins/images/7310/large/cro_token_logo.png?1696507599,0.08,2143498327.0,41,2387130447,5018822,0.079873,0.077675,0.00192573,2.47639,48496077.0,2.31485,26938180068.56,30000000000.0,,0.965407,-91.76631,2021-11-24 15:53:54.855000+00:00,0.0121196,555.86878,2019-02-08 00:00:00+00:00,2024-09-09 19:10:52.328000+00:00,0.0,N/A,0.0
filecoin,FIL,Filecoin,https://coin-images.coingecko.com/coins/images/12817/large/filecoin.png?1696512609,3.59,2096395210.0,42,7027259613,213388972,3.66,3.36,0.208669,6.17539,121163727.0,6.13415,584707676.0,1959979978.0,1959979978.0,236.84,-98.49038,2021-04-01 13:29:41.564000+00:00,2.64,35.3814,2022-12-16 22:45:28.552000+00:00,2024-09-09 19:10:53.350000+00:00,0.0,N/A,0.0
aave,AAVE,Aave,https://coin-images.coingecko.com/coins/images/12645/large/aave-token-round.png?1720472354,140.88,2093037276.0,43,2243160286,488734071,141.41,124.38,15.29,12.17141,221049876.0,11.8083,14929203.51,16000000.0,16000000.0,661.69,-78.8452,2021-05-18 21:19:59.514000+00:00,26.02,437.90281,2020-11-05 09:20:11.928000+00:00,2024-09-09 19:10:52.514000+00:00,0.0,N/A,0.0
immutable-x,IMX,Immutable,https://coin-images.coingecko.com/coins/images/17233/large/immutableX-symbol-BLK-RGB.png?1696516787,1.27,2030617691.0,44,2529892743,53032097,1.27,1.19,0.069016,5.7691,109789635.0,5.71575,1605299431.39,2000000000.0,2000000000.0,9.52,-86.74165,2021-11-26 01:03:01.536000+00:00,0.378055,233.86335,2022-12-31 07:36:37.649000+00:00,2024-09-09 19:10:54.264000+00:00,0.0,N/A,0.0
bittensor,TAO,Bittensor,https://coin-images.coingecko.com/coins/images/28452/large/ARUsPeNQ_400x400.jpeg?1696527447,275.82,2029157388.0,45,5787745496,89984941,274.85,240.39,33.77,13.95197,250496578.0,14.08344,7362505.0,21000000.0,21000000.0,757.6,-63.70174,2024-03-07 18:45:36.466000+00:00,30.83,791.98087,2023-05-14 08:57:53.732000+00:00,2024-09-09 19:10:50.959000+00:00,0.0,N/A,0.0
render-token,RENDER,Render,https://coin-images.coingecko.com/coins/images/11636/large/rndr.png?1696511529,5.08,1992008800.0,46,2701390987,144359543,5.07,4.8,0.258724,5.37107,101254542.0,5.35525,392459381.46,532219654.74,,13.53,-62.67598,2024-03-17 16:30:24.636000+00:00,0.03665669,13681.09121,2020-06-16 13:22:25.900000+00:00,2024-09-09 19:10:38.401000+00:00,0.0,N/A,0.0
hedera-hashgraph,HBAR,Hedera,https://coin-images.coingecko.com/coins/images/3688/large/hbar.png?1696504364,0.05,1885924394.0,47,2551124131,33775474,0.051371,0.04910835,0.00162334,3.28443,59082539.0,3.23414,36962615235.62,50000000000.0,50000000000.0,0.569229,-91.05692,2021-09-15 10:40:28.318000+00:00,0.00986111,416.23599,2020-01-02 17:30:24.852000+00:00,2024-09-09 19:10:54.561000+00:00,0.0,N/A,0.0
arbitrum,ARB,Arbitrum,https://coin-images.coingecko.com/coins/images/16547/large/arb.jpg?1721358242,0.52,1828872706.0,48,5231135901,174244708,0.524396,0.501375,0.02044445,4.06079,68540537.0,3.89361,3496129217.0,10000000000.0,10000000000.0,2.39,-78.15587,2024-01-12 12:29:59.231000+00:00,0.431578,20.98327,2024-08-05 11:35:54.024000+00:00,2024-09-09 19:10:52.053000+00:00,0.0,N/A,0.0
mantle,MNT,Mantle,https://coin-images.coingecko.com/coins/images/30980/large/token-logo.png?1696529819,0.56,1818685215.0,49,3462359218,88181845,0.558548,0.54292,0.01006787,1.84089,32055034.0,1.79416,3266841707.84,6219316794.99,6219316794.99,1.54,-63.83437,2024-04-08 09:45:25.482000+00:00,0.307978,80.69025,2023-10-18 02:50:46.942000+00:00,2024-09-09 19:10:54.573000+00:00,0.0,N/A,0.0
optimism,OP,Optimism,https://coin-images.coingecko.com/coins/images/25244/large/Optimism.png?1696524385,1.5,1785660447.0,50,6457878111,137695462,1.5,1.39,0.105822,7.56426,123150284.0,7.40749,1187596466.0,4294967296.0,4294967296.0,4.84,-68.98723,2024-03-06 08:35:50.817000+00:00,0.402159,273.57218,2022-06-18 20:54:52.178000+00:00,2024-09-09 19:10:55.159000+00:00,0.0,N/A,0.0
matic-network,MATIC,Polygon,https://coin-images.coingecko.com/coins/images/4713/large/polygon.png?1698233745,0.38,1745799218.0,51,3824734636,89578739,0.385264,0.372182,0.00821739,2.19376,29363048.0,1.7107,4564497630.04,10000000000.0,10000000000.0,2.92,-86.93312,2021-12-27 02:08:34.307000+00:00,0.00314376,12021.30076,2019-05-10 00:00:00+00:00,2024-09-09 19:10:37.902000+00:00,144.55065865041118,usd,14455.065865041119
vechain,VET,Vechain,https://coin-images.coingecko.com/coins/images/1167/large/VET_Token_Icon.png?1710013505,0.02,1744114885.0,52,1851796184,18146907,0.02162547,0.02030868,0.00110165,5.38085,85871808.0,5.17848,80985041177.0,85985041177.0,86712634466.0,0.280991,-92.35144,2021-04-19 01:08:21.675000+00:00,0.00191713,1021.03665,2020-03-13 02:29:59.652000+00:00,2024-09-09 19:10:40.560000+00:00,2.232834370917572,eth,223.2834370917572
injective-protocol,INJ,Injective,https://coin-images.coingecko.com/coins/images/12882/large/Secondary_Symbol.png?1696512670,17.11,1671907241.0,53,1710789687,109612426,17.14,16.05,0.998511,6.19899,96879196.0,6.15095,97727222.33,100000000.0,,52.62,-67.56013,2024-03-14 15:06:22.124000+00:00,0.657401,2496.6011,2020-11-03 16:19:30.576000+00:00,2024-09-09 19:10:53.454000+00:00,0.0,N/A,0.0
dogwifcoin,WIF,Dogwifhat,https://coin-images.coingecko.com/coins/images/33566/large/dogwifhat.jpg?1702499428,1.65,1639134017.0,54,1639134017,559845124,1.64,1.5,0.136929,9.07686,132074065.0,8.76369,998926392.0,998926392.0,998926392.0,4.83,-65.99502,2024-03-31 09:34:58.366000+00:00,0.00155464,105448.41528,2023-12-13 07:13:50.873000+00:00,2024-09-09 19:10:53.353000+00:00,0.0,N/A,0.0
cosmos,ATOM,Cosmos Hub,https://coin-images.coingecko.com/coins/images/1481/large/cosmos_hub.png?1696502525,4.05,1580985668.0,55,1581963607,136146510,4.05,3.74,0.286842,7.62775,112083371.0,7.63042,390688369.81,390930035.09,,44.45,-90.90912,2022-01-17 00:34:41.497000+00:00,1.16,248.31995,2020-03-13 02:27:44.591000+00:00,2024-09-09 19:10:53.041000+00:00,39.47343627266359,usd,3947.343627266359
whitebit,WBT,Whitebit Coin,https://coin-images.coingecko.com/coins/images/27045/large/wbt_token.png?1696526096,10.82,1559110083.0,56,3732256121,2256955,10.85,10.75,0.071857,0.66838,9346390.0,0.60308,144118517.11,344996305.0,400000000.0,14.64,-26.05639,2022-10-28 12:32:18.119000+00:00,3.06,253.68265,2023-02-13 19:01:21.899000+00:00,2024-09-09 19:10:53.135000+00:00,0.0,N/A,0.0
